,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
377,Peniche,PT,55.4,100,75,11.41,39.36,-9.38,1554677200
378,Thinadhoo,MV,84.09,100,0,3.38,0.53,72.93,1554677335
379,Clearlake,US,72.0,63,90,8.05,38.96,-122.63,1554677203
380,Northam,GB,46.0,93,0,3.36,51.04,-4.21,1554677225
381,Havoysund,NO,26.6,63,40,19.46,71.0,24.66,1554673800
382,Faya,SA,64.4,55,0,2.37,18.39,42.45,1554674400
383,Port-Gentil,GA,80.6,94,75,14.99,-0.72,8.78,1554674400
384,Nuevo Progreso,US,86.0,48,1,9.17,26.05,-97.95,1554677342
385,Tessalit,ML,56.91,32,0,3.94,20.2,1.01,1554677345
386,Tooele,US,66.99,39,40,8.05,40.53,-112.3,1554677345
387,Hirara,JP,71.6,100,20,1.12,24.8,125.28,1554674400
388,Alekseyevsk,RU,26.04,55,32,6.51,57.84,108.35,1554677348
389,Lebu,ET,52.41,73,32,4.61,8.96,38.73,1554677349
390,Parfino,RU,42.33,77,32,8.19,57.97,31.65,1554677351
391,Lisakovsk,KZ,27.12,74,0,2.82,52.55,62.49,1554677352
392,Lavrentiya,RU,15.24,100,0,37.38,65.58,-170.99,1554677353
393,Great Yarmouth,GB,48.99,100,0,3.36,52.61,1.73,1554677164
394,Emporia,US,79.0,47,1,14.99,38.4,-96.18,1554676721
395,Komsomolskiy,RU,25.23,89,92,7.63,67.55,63.78,1554677128
396,Zyryanka,RU,20.46,81,48,2.71,65.73,150.89,1554677358
397,Teahupoo,PF,87.8,70,20,8.05,-17.83,-149.27,1554674400
398,Qasigiannguit,GL,39.2,48,44,16.11,68.82,-51.19,1554673800
399,Padang,ID,77.0,88,20,3.36,-0.92,100.36,1554674400
400,Zhigansk,RU,25.5,76,24,6.73,66.77,123.37,1554677363
401,Laureles,MX,86.0,6,5,5.82,20.73,-103.39,1554673260
402,Henties Bay,NA,57.99,90,0,3.0,-22.12,14.28,1554674525
403,Toropets,RU,40.62,64,92,11.43,56.5,31.64,1554677258
404,Pawai,IN,71.49,52,0,3.49,24.27,80.17,1554677368
405,Tucurui,BR,74.82,97,80,2.37,-3.77,-49.67,1554677273
406,Tezu,IN,55.74,79,100,1.59,27.93,96.16,1554677370
407,Khani,GE,48.2,93,0,2.24,41.96,42.96,1554676200
408,Ambilobe,MG,74.91,95,92,4.72,-13.19,49.05,1554677372
409,Manggar,ID,80.31,98,44,3.71,-2.88,108.27,1554677374
410,Baykit,RU,19.11,86,48,8.63,61.68,96.39,1554677375
411,Sherbakul,RU,26.6,79,0,3.71,54.63,72.39,1554676200
412,Kenai,US,52.0,63,90,10.29,60.55,-151.26,1554677333
413,Puerto Colombia,CO,84.2,70,40,13.87,10.99,-74.96,1554677231
414,Baker City,US,59.0,58,75,11.41,44.77,-117.83,1554677149
415,Zelenoborskiy,RU,30.27,85,92,11.1,66.84,32.36,1554677381
416,Qaqortoq,GL,32.0,93,92,3.15,60.72,-46.03,1554673800
417,Kattivakkam,IN,84.2,83,20,4.7,13.22,80.32,1554676200
418,San Jose,PH,77.7,88,24,2.93,15.79,120.99,1554677352
419,Vila do Maio,CV,71.6,73,75,20.8,15.13,-23.22,1554674400
420,Vanimo,PG,79.41,100,88,5.73,-2.67,141.3,1554677388
421,Sambava,MG,76.98,100,68,11.77,-14.27,50.17,1554677390
422,Aden,YE,80.4,98,0,15.68,12.79,45.03,1554677391
423,Dongsheng,CN,72.57,81,0,11.77,29.72,112.52,1554677392
424,Santa Vitoria do Palmar,BR,60.87,90,0,5.73,-33.52,-53.37,1554677394
425,Sawtell,AU,77.0,65,0,6.93,-30.38,153.1,1554677296
426,Phan Thiet,VN,78.51,100,0,6.62,10.93,108.1,1554677396
427,Buraydah,SA,69.8,64,20,3.36,26.33,43.97,1554674400
428,Itarema,BR,77.34,93,0,7.63,-2.92,-39.92,1554677399
429,Rome,IT,52.0,87,0,2.24,41.89,12.48,1554677344
430,Kieta,PG,81.57,97,76,4.16,-6.22,155.63,1554677401
431,Hasaki,JP,48.2,66,75,8.05,35.73,140.83,1554676662
432,Polovinnoye,RU,24.87,64,0,5.73,54.79,65.99,1554677404
433,Jining,CN,62.01,45,76,1.01,35.41,116.58,1554677398
434,Port Maria,JM,84.2,62,20,27.51,18.37,-76.89,1554674400
435,Xining,CN,36.03,99,80,3.38,36.62,101.77,1554677407
436,Villamontes,BO,56.64,86,0,2.26,-21.26,-63.47,1554677409
437,Dukat,RS,52.0,67,36,1.99,42.44,22.31,1554677244
438,Bondoukou,CI,72.66,95,92,9.86,8.04,-2.8,1554677413
439,Keti Bandar,PK,80.04,93,0,15.23,24.14,67.45,1554677414
440,Sao Filipe,CV,71.58,95,0,15.9,14.9,-24.5,1554677415
441,Santiago,CL,84.2,25,0,6.93,-33.44,-70.65,1554677141
442,Guerrero Negro,MX,76.71,44,0,15.01,27.97,-114.04,1554677418
443,Kedougou,SN,87.33,26,32,9.75,12.56,-12.19,1554677420
444,Egvekinot,RU,11.46,78,12,8.63,66.32,-179.17,1554677229
445,Saint-Georges,CA,30.36,55,64,4.05,46.12,-70.67,1554677423
446,Roebourne,AU,82.02,63,12,4.38,-20.77,117.15,1554677425
447,San Cristobal,EC,64.4,72,75,9.17,-0.39,-78.55,1554677120
448,Obigarm,TJ,31.89,96,88,1.7,38.72,69.71,1554677165
449,Ishigaki,JP,71.6,100,20,1.12,24.34,124.16,1554674400
450,Bandarbeyla,SO,79.32,100,0,6.17,9.49,50.81,1554677431
451,Bow Island,CA,60.01,28,75,16.11,49.87,-111.38,1554677371
452,Podosinovets,RU,33.33,96,92,7.18,60.28,47.06,1554677433
453,Jega,NG,80.4,70,76,2.82,12.22,4.38,1554677434
454,Heishan,CN,42.69,46,0,6.96,41.69,122.12,1554677435
455,Sioux Lookout,CA,37.4,93,90,4.7,50.1,-91.92,1554676200
456,Les Cayes,HT,80.04,96,20,13.0,18.19,-73.75,1554677406
457,Talnakh,RU,15.42,93,76,10.98,69.49,88.39,1554677440
458,Puyang,CN,56.91,86,92,9.42,35.76,115.02,1554677441
459,Notodden,NO,37.99,68,0,1.01,59.56,9.26,1554677223
460,Kirakira,SB,83.19,100,44,3.6,-10.46,161.92,1554677443
461,Yaan,NG,80.76,78,36,7.29,7.38,8.57,1554677444
462,Saint Paul,US,62.01,72,90,9.17,44.95,-93.1,1554677427
463,Lazaro Cardenas,MX,78.8,18,20,10.29,28.39,-105.62,1554677342
464,Rakai,UG,64.02,90,36,2.93,-0.71,31.4,1554677449
465,Ust-Nera,RU,24.33,86,68,2.37,64.57,143.24,1554677451
466,Hastings,NZ,57.27,100,92,16.8,-39.64,176.84,1554677452
467,Darhan,MN,28.92,54,56,2.93,49.49,105.92,1554677453
468,Kodinsk,RU,22.8,68,0,5.17,58.6,99.18,1554677454
469,Kavieng,PG,80.04,100,76,5.06,-2.57,150.8,1554677456
470,Impfondo,CD,73.11,95,36,2.37,1.62,18.06,1554677458
471,Tshikapa,CD,71.49,100,76,2.15,-6.42,20.79,1554677459
472,Pokhvistnevo,RU,43.5,95,80,4.94,53.65,52.12,1554677460
473,Helena,US,62.6,33,1,25.28,46.59,-112.04,1554673980
474,Najran,SA,71.6,64,5,3.15,17.54,44.22,1554674400
475,La Ronge,CA,28.4,86,90,11.41,55.1,-105.3,1554674400
476,Sao Joao da Barra,BR,80.6,78,0,16.11,-21.64,-41.05,1554674400
477,Champerico,MX,98.6,25,40,17.22,16.38,-93.6,1554673860
478,Lingdong,CN,71.13,85,0,2.93,28.06,114.24,1554677467
479,Antofagasta,CL,66.2,72,20,9.17,-23.65,-70.4,1554674400
480,Kalloni,GR,57.0,93,40,5.82,35.21,25.19,1554677369
481,Dauriya,RU,28.11,57,0,4.61,49.93,116.85,1554677471
482,Tres Arroyos,AR,69.87,44,0,11.21,-38.38,-60.28,1554677472
483,Vila Velha,BR,82.4,83,0,9.17,-3.71,-38.6,1554677291
484,The Valley,AI,78.8,65,20,12.75,18.22,-63.06,1554677125
485,Taree,AU,68.0,68,20,2.24,-31.91,152.46,1554674400
486,Kaeo,NZ,66.0,66,68,8.99,-35.1,173.78,1554676685
487,Sao Joao Batista,BR,75.36,97,80,2.37,-3.13,-58.38,1554677478
488,Hanzhong,CN,60.96,49,48,2.71,33.08,107.03,1554677479
489,Sisimiut,GL,27.3,90,92,2.04,66.94,-53.67,1554677480
490,Ouadda,CF,83.46,36,56,12.1,8.07,22.4,1554677481
491,Lorengau,PG,81.39,100,80,3.6,-2.02,147.27,1554677482
492,Skibbereen,IE,46.4,93,75,16.11,51.55,-9.27,1554674400
493,Dudinka,RU,15.24,90,68,12.44,69.41,86.18,1554677485
494,Andros Town,BS,80.6,69,40,12.75,24.73,-77.79,1554677189
495,Ayan,TR,35.67,86,0,0.92,40.67,33.6,1554677487
496,Iwanai,JP,39.27,92,0,2.37,42.97,140.51,1554677489
497,Barra do Bugres,BR,73.47,80,76,4.27,-15.07,-57.19,1554677491
498,Maragogi,BR,77.61,96,68,4.16,-9.01,-35.22,1554677208
499,Mehamn,NO,26.6,63,75,9.17,71.03,27.85,1554673800
500,Kargasok,RU,25.68,83,44,5.95,59.06,80.87,1554677494
501,Nefteyugansk,RU,30.2,63,0,6.71,61.09,72.61,1554676200
502,Ayagoz,KZ,25.5,80,0,9.98,47.96,80.43,1554677497
503,Vallenar,CL,58.53,90,0,1.7,-28.58,-70.76,1554677500
504,Kudahuvadhoo,MV,81.03,100,80,1.81,2.67,72.89,1554677501
505,Grootfontein,NA,60.69,92,20,5.17,-19.56,18.1,1554677502
506,Coquimbo,CL,60.8,82,90,9.17,-29.95,-71.34,1554674400
507,Udachnyy,RU,18.75,70,36,3.6,66.42,112.4,1554677504
508,Pangnirtung,CA,20.37,93,80,4.16,66.15,-65.72,1554677505
509,Vostok,RU,36.39,83,32,2.93,46.45,135.83,1554677506
510,Souillac,FR,48.0,93,0,4.38,45.6,-0.6,1554677498
511,Inhambane,MZ,78.06,90,92,8.75,-23.87,35.38,1554677509
512,Bolivar,US,71.6,77,1,3.36,35.26,-88.99,1554677495
513,Srisailam,IN,66.09,82,0,2.93,16.07,78.87,1554677511
514,Bethanien,NA,51.33,68,0,3.15,-26.5,17.16,1554677513
515,Merauke,ID,85.26,89,8,5.95,-8.49,140.4,1554677514
516,Bambanglipuro,ID,74.01,95,12,4.05,-7.95,110.28,1554677516
517,Tottori,JP,51.8,93,40,3.36,35.5,134.23,1554674400
518,Dunedin,NZ,60.01,63,0,21.0,-45.87,170.5,1554676945
519,Salta,AR,71.6,49,20,9.17,-24.79,-65.41,1554674400
520,Muleba,TZ,69.8,77,75,8.19,-1.84,31.66,1554674400
521,Saint-Avold,FR,51.01,87,75,6.93,49.1,6.71,1554677525
522,Polunochnoye,RU,32.97,86,88,7.96,60.87,60.43,1554677529
523,Babu,CN,62.49,86,12,3.94,23.23,104.89,1554677530
524,Sterling,US,71.01,60,90,12.75,39.0,-77.4,1554677525
525,Beyla,GN,68.79,92,76,3.38,8.69,-8.65,1554677534
526,Malabo,CD,62.31,94,12,3.71,1.56,30.43,1554677535
527,Tura,IN,63.48,93,24,4.94,25.52,90.21,1554677536
528,Mugur-Aksy,RU,10.92,74,76,2.26,50.38,90.44,1554677537
529,General Pico,AR,69.96,34,0,10.31,-35.66,-63.75,1554677429
530,Matara,PE,49.89,66,0,1.92,-13.74,-72.9,1554677540
531,College,US,54.0,34,1,7.29,64.86,-147.8,1554677422
532,Yerofey Pavlovich,RU,29.64,43,0,4.83,53.97,121.97,1554677542
533,Chaoyang,CN,42.69,43,0,6.4,41.58,120.44,1554677543
534,Honningsvag,NO,26.6,63,75,9.17,70.98,25.97,1554673800
535,Cascais,PT,59.0,100,75,11.41,38.7,-9.42,1554677438
536,Hualmay,PE,70.14,78,8,2.71,-11.1,-77.61,1554677526
537,Rawlins,US,51.8,32,40,18.34,41.79,-107.24,1554676500
538,Daru,SL,71.85,97,92,6.17,7.99,-10.85,1554677549
539,Husavik,CA,45.0,84,44,8.01,50.56,-96.99,1554677416
540,Freeport,BS,82.4,61,75,11.41,26.54,-78.7,1554674400
541,Zlobin,HR,50.0,93,90,5.17,45.29,14.65,1554677524
542,Sofia,BG,51.8,76,0,11.41,42.7,23.32,1554677289
543,San Rafael,AR,68.43,30,0,8.08,-34.61,-68.33,1554677556
544,Yueyang,CN,74.37,71,0,10.42,29.36,113.12,1554677558
545,Kansanshi,ZM,67.08,85,80,2.48,-12.1,26.43,1554677560
546,Yokadouma,CM,70.86,93,64,2.15,3.52,15.05,1554677561
547,Dalbandin,PK,60.87,36,0,7.74,28.9,64.41,1554677562
548,Quesnel,CA,51.8,37,1,9.17,52.98,-122.49,1554674400
549,Akhisar,TR,50.0,93,40,2.24,38.92,27.84,1554673800
550,Bom Jesus,BR,82.4,88,40,4.7,-5.99,-35.58,1554674400
551,Bakchar,RU,23.79,86,0,5.39,57.02,82.07,1554677567
552,Manado,ID,75.2,94,20,1.59,1.49,124.85,1554676200
553,Saint-Joseph,FR,51.8,93,0,2.24,43.56,6.97,1554677433
554,Sendafa,ET,52.41,73,32,4.61,9.16,39.02,1554677571
555,Guaranda,EC,65.19,91,88,3.15,-1.59,-79.0,1554677482
556,Capitan Bado,PY,63.66,89,32,3.94,-23.27,-55.53,1554677573
557,Karratha,AU,82.02,63,12,4.38,-20.74,116.85,1554677574
558,Huangcun,CN,69.42,98,68,3.38,23.83,115.22,1554677442
559,Kuusamo,FI,30.2,86,90,9.17,65.96,29.19,1554675600
560,Saint Anthony,US,54.0,58,90,21.92,43.97,-111.68,1554677430
561,Challans,FR,45.0,93,0,3.36,46.85,-1.88,1554677526
562,Biak,ID,82.56,92,0,1.36,-0.91,122.88,1554677581
563,Shahrud,IR,46.65,100,92,3.27,36.42,54.97,1554677583
